Language name,number of translations in,number of translations out
af,233.0,233.0
am,232.0,232.0
an,2.0,2.0
ar,233.0,233.0
arz,134.0,134.0
as,141.0,134.0
ast,7.0,1.0
ay,140.0,134.0
az,232.0,232.0
ba,106.0,98.0
bcl,1.0,0
be,233.0,233.0
be-tarask,232.0,232.0
bg,233.0,233.0
bho,134.0,134.0
bm,134.0,134.0
bn,232.0,232.0
bs,232.0,232.0
ca,244.0,246.0
ceb,232.0,232.0
ckb,140.0,134.0
co,134.0,134.0
cs,232.0,232.0
cv,98.0,98.0
cy,232.0,234.0
da,235.0,235.0
de,232.0,232.0
dv,134.0,134.0
ee,134.0,134.0
el,232.0,232.0
en,239.0,292.0
eo,237.0,234.0
es,249.0,292.0
et,232.0,232.0
eu,238.0,240.0
fa,232.0,232.0
fi,232.0,232.0
fr,242.0,289.0
fy,134.0,134.0
ga,232.0,232.0
gan,134.0,134.0
gd,232.0,232.0
gl,240.0,239.0
gn,134.0,134.0
gom,134.0,134.0
gu,232.0,232.0
ha,140.0,134.0
haw,134.0,134.0
he,232.0,232.0
hi,233.0,233.0
hr,232.0,232.0
ht,232.0,232.0
hu,232.0,232.0
hy,232.0,232.0
id,233.0,233.0
ig,140.0,134.0
ilo,140.0,134.0
is,239.0,235.0
it,233.0,235.0
ja,234.0,236.0
jv,232.0,232.0
ka,232.0,232.0
kg,6.0,0
kk,233.0,233.0
km,232.0,232.0
kn,232.0,232.0
ko,233.0,234.0
ku,134.0,134.0
ky,232.0,232.0
la,232.0,232.0
lb,232.0,232.0
lg,140.0,134.0
ln,140.0,134.0
lo,232.0,232.0
lt,232.0,232.0
lv,232.0,232.0
mai,134.0,134.0
mg,232.0,232.0
mhr,98.0,98.0
mi,232.0,232.0
mk,233.0,234.0
ml,232.0,232.0
mn,232.0,232.0
mni,134.0,134.0
mr,232.0,232.0
mrj,98.0,98.0
ms,233.0,233.0
mt,233.0,233.0
my,232.0,232.0
nb,102.0,101.0
ne,232.0,232.0
nl,233.0,233.0
nn,3.0,3.0
no,134.0,134.0
nso,140.0,134.0
ny,134.0,134.0
oc,13.0,2.0
om,140.0,134.0
or,134.0,134.0
pa,232.0,232.0
pap,98.0,98.0
pl,233.0,233.0
ps,134.0,134.0
pt,236.0,239.0
qqq,1.0,0
qu,134.0,134.0
ro,232.0,233.0
ru,234.0,238.0
rw,134.0,134.0
sa,134.0,134.0
sah,98.0,98.0
sc,2.0,0
sd,134.0,134.0
sh,235.0,235.0
si,232.0,232.0
simple,245.0,244.0
sk,232.0,232.0
sl,233.0,234.0
sm,134.0,134.0
sn,134.0,134.0
so,134.0,134.0
sq,232.0,232.0
sr,234.0,232.0
ss,6.0,0
st,134.0,134.0
su,232.0,232.0
sv,236.0,236.0
sw,232.0,232.0
szl,1.0,1.0
ta,232.0,232.0
te,232.0,232.0
tg,232.0,232.0
th,232.0,232.0
ti,138.0,134.0
tk,134.0,134.0
tl,232.0,232.0
tn,6.0,0
tr,233.0,232.0
ts,141.0,134.0
tt,233.0,233.0
tw,134.0,134.0
udm,98.0,98.0
ug,134.0,134.0
uk,233.0,232.0
ur,233.0,233.0
uz,232.0,232.0
vi,232.0,232.0
wo,4.0,0
wuu,245.0,232.0
xh,232.0,232.0
yi,232.0,232.0
yo,134.0,134.0
yue,142.0,134.0
zh,249.0,246.0
zu,140.0,134.0
0,0,1.0
0,0,1.0
0,0,1.0
