languages,translations_from_count,translations_to_count
en,1091509,34995
ru,113213,38929
es,75138,127107
fr,34860,103563
de,31517,9669
pt,17111,55215
it,13574,34805
ca,12189,65493
uk,11470,78982
tr,8013,64571
zh,7359,35289
ja,6744,28521
pl,5974,5978
nb,5828,11165
id,5293,15665
ar,5097,74603
sv,4620,5027
nl,4585,10376
fa,4398,51168
simple,4120,1806
sr,3390,10937
be,2765,9115
he,2761,36620
hu,2627,4560
gl,2627,22836
nn,2624,5874
ur,2383,17744
ba,2339,17462
cs,2190,14246
hi,2185,8266
sk,2119,1764
ko,2103,10971
da,1619,4568
el,1537,27892
ro,1518,15672
az,1514,4435
bg,1468,4299
fi,1432,2874
ceb,1424,1803
th,1407,5734
hr,1389,2270
kk,1133,4556
lt,1018,1041
eu,908,14137
ms,901,14026
vi,874,46328
et,791,1358
bn,701,32906
hy,689,4880
ka,687,2990
eo,683,5781
tg,651,3950
no,619,65
uz,614,71877
bs,601,2058
mk,577,19151
lv,534,1410
sl,492,3227
sh,491,461
tl,456,10238
tt,451,5328
an,390,189
yue,386,1453
sq,372,7418
ta,299,26829
pa,253,15624
mr,238,2867
cy,223,3322
ml,223,11683
ku,214,1620
ast,207,5734
af,180,3720
ckb,177,3969
ne,174,1540
gu,167,2694
gd,167,118
is,152,402
arz,149,3134
kn,142,4918
am,125,222
te,121,5619
ps,120,1518
ha,117,16775
oc,103,2689
lb,100,132
la,92,823
my,89,2122
ky,86,796
wuu,76,721
mn,75,369
pnb,74,163
sw,68,2689
ga,65,2481
war,59,146
or,57,2593
ig,57,15011
rue,53,45
fy,50,168
min,49,821
ary,45,302
so,41,317
sd,40,1096
as,40,692
rw,39,1909
tk,37,179
si,36,921
ht,36,655
yi,35,597
km,35,1185
jv,34,7886
hsb,33,35
sc,31,644
sco,31,640
bcl,30,1812
mzn,29,225
lzh,28,274
mt,28,389
lmo,27,76
mg,26,830
nds,26,39
azb,25,631
fo,24,40
br,24,410
co,23,148
kaa,21,270
ext,20,73
gn,20,147
om,20,255
qu,20,434
kw,20,907
sah,19,485
yo,18,1494
tn,18,156
zu,18,1507
sa,17,146
gan,17,15
be-tarask,16,234
iu,16,222
smn,16,96
haw,16,219
ce,16,84
hyw,15,108
nap,15,70
su,15,540
cv,14,57
wa,14,17
ln,13,70
se,13,52
kbd,13,11
crh-latn,12,329
mnw,12,218
av,12,46
mai,12,66
st,12,89
sm,11,30
gag,11,29
szl,11,37
xmf,10,57
bar,10,536
vo,10,33
vec,10,106
lo,9,1030
ak,9,873
ts,8,207
hif,8,42
mwl,8,438
vls,7,15
ia,7,69
lad,7,29
glk,7,65
pcd,7,20
pms,7,27
kg,7,22
ug,6,98
os,6,241
bug,6,14
xh,6,287
nds-nl,6,54
mni,6,113
lg,6,681
ty,6,10
nso,5,45
eml,5,72
myv,5,214
zh-yue,5,0
ks,5,296
ti,5,82
rm,5,31
to,5,6
fur,5,14
sn,5,131
scn,5,28
sat,5,134
mi,5,64
io,5,66
sgs,5,661
ace,4,53
dsb,4,30
tw,4,770
ang,4,61
ie,4,42
bho,4,223
nqo,4,436
ban,4,27
li,4,21
zea,4,9
shn,4,14
hak,4,1075
kab,4,216
mhr,4,9
got,4,37
dag,4,20
frp,4,34
frr,4,9
mdf,3,6
chr,3,116
arc,3,8
kv,3,5
cr,3,43
udm,3,52
tyv,3,417
tcy,3,95
ny,3,96
nah,3,79
ss,3,127
dv,3,47
rmy,3,20
nrm,3,2
ki,2,5
tpi,2,68
lij,2,72
lld,2,94
nov,2,18
pi,2,5
pfl,2,12
vro,2,213
pap,2,38
pam,2,8
pag,2,20
olo,2,7
pnt,2,14
ady,2,29
cdo,2,16
be-x-old,2,0
inh,2,12
gv,2,6
trv,2,11
bxr,2,93
csb,2,7
cu,2,11
vep,2,4
bo,2,31
kl,2,12
dty,2,34
diq,2,888
pdc,2,43
din,2,7
krc,1,12
new,1,96
rup,1,33
szy,1,0
sg,1,2
skr,1,359
ltg,1,9
kcg,1,6
ff,1,45
jam,1,35
pcm,1,14
avk,1,6
pwn,1,2
gom,1,84
ab,1,29
lbe,1,7
lfn,1,21
gsw,1,87
lrc,1,8
mad,1,2
gor,1,73
mrj,1,13
crh,1,0
ch,1,7
bpy,1,10
awa,1,7
chy,0,6
lez,0,17
atj,0,5
srn,0,9
ee,0,26
cbk-zam,0,5
na,0,8
ami,0,3
bi,0,23
zh-tw,0,19
fil,0,1
map-bms,0,5
nia,0,2
pih,0,15
za,0,4
wo,0,65
kbp,0,1
roa-tara,0,3
alt,0,6
ii,0,1
nv,0,11
ve,0,11
dz,0,15
,0,0
bm,0,15
ik,0,8
xal,0,33
jbo,0,24
ksh,0,17
ay,0,30
bjn,0,423
fj,0,24
tum,0,63
gcr,0,3
guw,0,7
ilo,0,9
koi,0,4
rn,0,11
shi,0,32
stq,0,12
tet,0,38
zh-min-nan,0,1
